Date,Open
2012-10-04,80.0
2012-10-09,98.0
2012-10-11,97.0
2012-10-14,88.0
2012-10-15,83.0
2012-10-17,84.0
2012-10-18,83.0
2012-10-30,79.0
2012-10-31,82.0
2012-11-01,86.0
2012-11-04,85.0
2012-11-05,84.0
2012-11-06,85.0
2012-11-07,83.0
2012-11-08,83.0
2012-11-11,83.0
2012-11-12,81.0
2012-11-18,82.0
2012-11-20,90.0
2012-11-21,87.0
2012-11-22,84.0
2012-11-25,84.0
2012-11-26,84.0
2012-11-27,84.0
2012-11-28,84.0
2012-11-29,82.0
2012-12-02,80.0
2012-12-03,79.0
2012-12-04,78.0
2012-12-05,79.0
2012-12-06,80.0
2012-12-09,78.0
2012-12-10,77.0
2012-12-11,78.0
2012-12-13,79.0
2012-12-16,78.0
2012-12-17,79.0
2012-12-18,80.0
2012-12-19,79.0
2012-12-20,80.0
2012-12-23,80.0
2012-12-24,76.0
2012-12-26,75.0
2012-12-27,76.0
2012-12-31,79.0
2013-01-01,78.0
2013-01-02,77.0
2013-01-03,74.0
2013-01-06,75.0
2013-01-07,76.0
2013-01-08,75.0
2013-01-09,74.0
2013-01-10,73.0
2013-01-13,72.0
2013-01-15,70.0
2013-01-16,72.0
2013-01-17,71.0
2013-01-20,71.0
2013-01-21,71.0
2013-01-22,76.0
2013-01-23,74.0
2013-01-24,71.0
2013-01-27,71.0
2013-01-28,70.0
2013-01-30,68.0
2013-01-31,70.0
2013-02-03,69.0
2013-02-04,70.0
2013-02-05,69.0
2013-02-06,69.0
2013-02-07,67.0
2013-02-10,69.0
2013-02-12,67.0
2013-02-13,69.0
2013-02-14,68.0
2013-02-19,68.0
2013-02-20,67.0
2013-02-21,68.0
2013-02-24,67.0
2013-02-25,66.0
2013-02-26,65.0
2013-02-27,67.0
2013-02-28,71.0
2013-03-03,69.0
2013-03-04,69.0
2013-03-05,72.0
2013-03-06,70.0
2013-03-07,69.0
2013-03-11,73.0
2013-03-13,69.0
2013-03-14,75.0
2013-03-17,76.0
2013-03-19,77.0
2013-03-20,78.0
2013-03-21,79.0
2013-03-24,86.0
2013-03-25,84.0
2013-03-27,82.0
2013-03-28,81.0
2013-03-31,79.0
2013-04-01,78.0
2013-04-02,78.0
