Date,Open
2012-08-22,95.0
2012-10-31,179.0
2012-11-01,165.0
2012-11-04,153.0
2012-11-25,143.0
2012-11-28,134.0
2012-12-02,124.0
2012-12-04,122.0
2012-12-05,120.0
2012-12-06,110.0
2012-12-09,108.0
2012-12-10,108.0
2012-12-11,104.0
2012-12-13,106.0
2012-12-16,104.0
2012-12-17,108.0
2012-12-18,110.0
2012-12-19,108.0
2012-12-20,100.0
2012-12-23,103.0
2012-12-24,101.0
2012-12-26,101.0
2012-12-27,103.0
2012-12-31,103.0
2013-01-01,103.0
2013-01-02,100.0
2013-01-03,99.0
2013-01-06,98.0
2013-01-07,96.0
2013-01-09,97.0
2013-01-10,96.0
2013-01-13,96.0
2013-01-15,95.0
2013-01-16,94.0
2013-01-17,92.0
2013-01-20,92.0
2013-01-22,91.0
2013-01-23,91.0
2013-01-24,90.0
2013-01-27,92.0
2013-01-28,91.0
2013-01-30,91.0
2013-01-31,91.0
2013-02-03,92.0
2013-02-04,93.0
2013-02-05,92.0
2013-02-06,92.0
2013-02-07,91.0
2013-02-10,93.0
2013-02-13,92.0
2013-02-14,94.0
2013-02-19,95.0
2013-02-20,94.0
2013-02-21,95.0
2013-02-24,96.0
2013-02-25,98.0
2013-02-26,100.0
2013-02-27,101.0
2013-03-03,103.0
2013-03-04,101.0
2013-03-05,99.0
2013-03-06,99.0
2013-03-07,99.0
2013-03-11,99.0
2013-03-13,98.0
2013-03-14,99.0
2013-03-17,99.0
2013-03-18,97.0
2013-03-19,97.0
2013-03-20,95.0
2013-03-24,95.0
2013-03-25,96.0
2013-03-27,95.0
2013-03-28,94.0
2013-04-08,96.0
2013-04-09,96.0
2013-04-11,94.0
2013-04-21,103.0
2013-04-22,101.0
2013-04-23,99.0
2013-04-25,96.0
2013-04-29,93.0
2013-04-30,96.0
2013-05-02,96.0
2013-05-05,96.0
2013-05-12,95.0
2013-05-13,81.0
2013-05-14,92.0
2013-05-15,92.0
2013-05-16,84.0
2013-05-20,81.0
2013-05-21,83.0
2013-05-23,84.0
2013-05-26,85.0
2013-05-27,87.0
2013-05-28,88.0
2013-05-30,91.0
2013-06-04,90.0
2013-06-05,89.0
2013-06-06,90.0
2013-06-10,89.0
2013-06-11,90.0
2013-06-12,90.0
2013-06-13,91.0
2013-06-18,89.0
2013-06-25,88.0
2013-06-26,87.0
2013-06-30,85.0
2013-07-01,85.0
2013-07-02,85.0
2013-07-03,86.0
2013-07-04,89.0
2013-07-08,90.0
2013-07-09,88.0
2013-07-10,85.0
2013-07-11,88.0
2013-07-14,89.0
2013-07-15,85.0
2013-07-16,86.0
2013-07-17,88.0
2013-07-22,87.0
2013-07-23,91.0
2013-07-25,88.0
2013-07-29,88.0
2013-07-30,92.0
2013-08-01,92.0
2013-08-04,92.0
2013-08-07,94.0
2013-08-08,93.0
2013-08-11,92.0
2013-08-12,91.0
2013-08-13,91.0
2013-08-14,91.0
2013-08-15,92.0
2013-08-18,90.0
2013-08-19,91.0
