Date,Open
2011-03-16,146.0
2011-03-20,336.0
2011-04-19,318.0
2011-05-24,287.0
2011-06-15,282.0
2011-07-03,282.0
2011-07-04,258.0
2011-07-11,253.0
2011-07-12,228.0
2011-07-13,220.0
2011-08-01,202.0
2011-08-03,195.0
2011-08-18,180.0
2011-09-12,174.0
2011-09-13,168.0
2011-09-14,160.0
2011-09-19,145.0
2011-09-20,132.0
2011-09-21,124.0
2011-09-22,118.0
2011-10-10,107.0
2011-10-12,97.0
2011-10-13,96.0
2011-10-16,87.0
2011-10-17,81.0
2011-10-18,80.0
2011-10-19,83.0
2011-10-20,81.0
2011-10-23,81.0
2011-10-24,89.0
2011-10-25,96.0
2011-10-30,95.0
2011-10-31,91.0
2011-11-02,92.0
2011-11-03,96.0
2011-11-06,94.0
2011-11-08,94.0
2011-11-09,93.0
2011-11-10,91.0
2011-11-13,91.0
2011-11-14,92.0
2011-11-15,91.0
2011-11-16,90.0
2011-11-17,92.0
2011-11-20,92.0
2011-11-21,90.0
2011-11-22,90.0
2011-11-23,88.0
2011-11-24,89.0
2011-11-27,88.0
2011-11-28,88.0
2011-11-29,88.0
2011-11-30,88.0
2011-12-01,86.0
2011-12-04,85.0
2011-12-05,85.0
2011-12-06,86.0
2011-12-07,81.0
2011-12-08,85.0
2011-12-11,86.0
2011-12-12,85.0
2011-12-13,86.0
2011-12-14,86.0
2011-12-15,81.0
2011-12-18,81.0
2011-12-19,81.0
2011-12-20,81.0
2011-12-21,84.0
2011-12-22,84.0
2011-12-26,86.0
2011-12-27,88.0
2011-12-28,94.0
2011-12-29,89.0
2012-01-03,91.0
2012-01-09,90.0
2012-01-10,87.0
2012-01-11,79.0
2012-01-12,72.0
2012-01-16,73.0
2012-01-17,72.0
2012-01-18,71.0
2012-01-19,70.0
2012-01-22,72.0
2012-01-23,71.0
2012-01-25,70.0
2012-01-26,70.0
2012-01-29,73.0
2012-01-31,72.0
2012-02-01,74.0
2012-02-02,75.0
2012-02-05,76.0
2012-02-06,76.0
2012-02-07,72.0
2012-02-08,73.0
2012-02-09,74.0
2012-02-12,73.0
2012-02-13,69.0
2012-02-14,72.0
2012-02-15,76.0
2012-02-16,72.0
2012-02-21,71.0
2012-02-23,71.0
2012-02-26,71.0
2012-02-27,72.0
2012-02-28,71.0
2012-02-29,71.0
2012-03-01,73.0
2012-03-04,72.0
2012-03-05,72.0
2012-03-06,71.0
2012-03-11,70.0
2012-03-12,71.0
2012-03-13,72.0
2012-03-14,71.0
2012-03-15,72.0
2012-03-18,71.0
2012-03-19,70.0
2012-03-20,71.0
2012-03-21,70.0
2012-03-25,71.0
2012-03-26,71.0
2012-03-27,68.0
2012-03-28,68.0
2012-03-29,69.0
2012-04-01,69.0
2012-04-02,69.0
2012-04-03,72.0
2012-04-04,71.0
2012-04-05,71.0
2012-04-08,71.0
2012-04-09,71.0
2012-04-10,71.0
2012-04-11,70.0
2012-04-12,71.0
2012-04-15,76.0
2012-04-16,81.0
2012-04-17,82.0
2012-04-18,84.0
2012-04-19,91.0
2012-04-22,88.0
2012-04-24,91.0
2012-04-25,92.0
2012-04-26,93.0
2012-04-29,100.0
2012-04-30,100.0
2012-05-03,98.0
2012-05-09,99.0
2012-05-10,99.0
2012-05-16,97.0
2012-05-23,97.0
2012-05-24,95.0
2012-05-30,94.0
2012-05-31,90.0
2012-06-04,88.0
2012-06-05,88.0
2012-06-06,88.0
2012-06-07,96.0
2013-11-26,100.0
2013-12-03,102.0
2013-12-04,107.0
2013-12-05,117.0
2013-12-08,125.0
2013-12-09,128.0
2013-12-10,141.0
2013-12-11,139.0
2013-12-12,126.0
2013-12-15,124.0
2013-12-16,136.0
2013-12-18,148.0
2013-12-19,150.0
2013-12-22,156.0
2013-12-23,148.0
2013-12-24,140.0
2013-12-26,136.0
2013-12-29,140.0
2014-01-05,137.0
2014-01-12,131.0
2014-01-13,129.0
2014-01-14,127.0
2014-01-16,123.0
2014-01-19,113.0
2014-01-20,113.0
2014-01-21,107.0
2014-01-22,110.0
2014-01-23,116.0
2014-01-26,119.0
2014-01-27,130.0
2014-01-28,140.0
2014-01-29,136.0
2014-02-02,128.0
2014-02-03,124.0
2014-02-04,118.0
2014-02-05,117.0
2014-02-06,120.0
2014-02-09,131.0
2014-02-10,123.0
2014-02-11,127.0
2014-02-12,135.0
2014-02-13,137.0
2014-02-16,131.0
2014-02-17,135.0
2014-02-18,140.0
2014-02-20,146.0
2014-02-23,147.0
2014-02-24,149.0
2014-02-25,147.0
2014-02-26,141.0
2014-03-03,139.0
2014-03-04,137.0
2014-03-05,126.0
2014-03-06,128.0
2014-03-09,124.0
2014-03-10,123.0
2014-03-11,129.0
2014-03-12,129.0
2014-03-13,127.0
2014-03-17,125.0
2014-03-18,120.0
2014-03-19,123.0
2014-03-20,123.0
2014-03-23,123.0
2014-03-24,122.0
2014-03-25,125.0
2014-03-26,125.0
2014-03-27,127.0
2014-03-31,129.0
2014-04-01,129.0
2014-04-02,131.0
2014-04-03,132.0
2014-04-06,134.0
2014-04-09,134.0
2014-04-10,128.0
2014-04-13,130.0
2014-04-15,127.0
2014-04-16,130.0
2014-04-17,128.0
2014-04-20,126.0
2014-04-21,127.0
2014-04-22,125.0
2014-04-23,128.0
2014-04-27,134.0
2014-04-28,129.0
2014-04-29,130.0
2014-04-30,136.0
2014-05-04,133.0
2014-05-06,132.0
2014-05-07,134.0
2014-05-08,132.0
2014-05-11,137.0
2014-05-12,138.0
2014-05-13,138.0
2014-05-18,144.0
2014-05-20,142.0
2014-05-21,142.0
2014-05-22,146.0
