Date,Open
2010-11-18,0.0
2010-11-29,282.0
2010-11-30,268.0
2010-12-01,264.0
2010-12-08,238.0
2010-12-16,234.0
2010-12-22,215.0
2010-12-27,205.0
2010-12-28,185.0
2010-12-29,167.0
2011-01-02,151.0
2011-01-03,142.0
2011-01-04,141.0
2011-01-05,140.0
2011-01-06,138.0
2011-01-09,140.0
2011-01-10,140.0
2011-01-11,138.0
2011-01-12,135.0
2011-01-13,136.0
2011-01-16,136.0
2011-01-17,138.0
2011-01-18,139.0
2011-01-19,135.0
2011-01-20,140.0
2011-01-23,137.0
2011-01-24,135.0
2011-02-01,135.0
2011-02-02,138.0
2011-02-03,135.0
2011-02-06,137.0
2011-02-08,140.0
2011-02-10,138.0
2011-02-13,136.0
2011-02-14,133.0
2011-02-15,131.0
2011-02-16,131.0
2011-02-17,130.0
2011-02-20,126.0
2011-02-21,126.0
2011-02-22,128.0
2011-02-23,125.0
2011-02-24,126.0
2011-02-27,123.0
2011-02-28,126.0
2011-03-01,127.0
2011-03-03,125.0
2011-03-07,121.0
2011-03-09,127.0
2011-03-10,122.0
2011-03-13,121.0
2011-03-14,119.0
2011-03-15,116.0
2011-03-16,112.0
2011-03-17,114.0
2011-03-20,113.0
2011-03-21,114.0
2011-03-23,112.0
2011-03-24,112.0
2011-03-27,111.0
2011-03-28,113.0
2011-03-29,110.0
2011-03-30,107.0
2011-03-31,104.0
2011-04-04,104.0
2011-04-05,108.0
2011-04-06,104.0
2011-04-07,107.0
2011-04-10,109.0
2011-04-11,108.0
2011-04-13,107.0
2011-04-17,107.0
2011-04-18,111.0
2011-04-19,112.0
2011-04-20,110.0
2011-04-21,108.0
2011-04-25,110.0
2011-04-26,109.0
2011-04-27,109.0
2011-04-28,107.0
2011-05-02,104.0
2011-05-03,105.0
2011-05-04,105.0
2011-05-05,106.0
2011-05-08,106.0
2011-05-10,106.0
2011-05-11,104.0
2011-05-12,104.0
2011-05-15,107.0
2011-05-16,109.0
2011-05-18,109.0
2011-05-19,106.0
2011-05-22,102.0
2011-05-23,98.0
2011-05-24,102.0
2011-05-25,100.0
2011-05-26,101.0
2011-05-30,105.0
2011-05-31,109.0
2011-06-02,111.0
2011-06-05,111.0
2011-06-06,103.0
2011-06-07,103.0
2011-06-09,103.0
2011-06-12,99.0
2011-06-13,99.0
2011-06-15,99.0
2011-06-16,99.0
2011-06-19,98.0
2011-06-20,96.0
2011-06-26,98.0
2011-06-30,99.0
2011-07-03,100.0
2011-07-04,101.0
2011-07-05,99.0
2011-07-06,98.0
2011-07-07,97.0
2011-07-11,102.0
2011-07-12,101.0
2011-07-14,106.0
2011-07-19,114.0
2011-07-20,108.0
2011-07-24,103.0
2011-07-26,101.0
2011-07-27,99.0
2011-07-28,102.0
2011-07-31,100.0
2011-08-01,104.0
2011-08-02,102.0
2011-08-03,104.0
2011-08-04,107.0
2011-08-07,104.0
2011-08-08,103.0
2011-08-09,98.0
2011-08-10,103.0
2011-08-11,102.0
2011-08-15,99.0
2011-08-16,98.0
2011-08-17,102.0
2011-08-18,103.0
2011-08-22,104.0
2011-08-23,104.0
2011-08-24,105.0
2011-08-25,102.0
2011-08-28,102.0
