Date,Open
2013-09-19,92.0
2013-09-26,80.0
2013-09-29,78.0
2013-10-31,77.0
2013-12-22,79.0
2013-12-23,81.0
2013-12-24,82.0
2013-12-26,83.0
2013-12-29,81.0
2014-01-05,82.0
2014-01-06,82.0
2014-01-08,81.0
2014-01-13,82.0
2014-01-23,81.0
2014-01-27,84.0
2014-02-02,84.0
2014-02-03,85.0
2014-02-05,86.0
2014-02-06,94.0
2014-02-09,103.0
2014-02-10,109.0
2014-02-11,113.0
2014-02-12,111.0
2014-02-13,107.0
2014-02-16,107.0
2014-02-17,101.0
2014-02-18,100.0
2014-02-26,102.0
2014-03-03,100.0
2014-03-05,101.0
2014-03-06,97.0
2014-03-09,96.0
2014-03-24,96.0
2014-03-26,95.0
2014-04-06,96.0
2014-04-10,96.0
2014-04-20,97.0
2014-04-21,96.0
2014-04-22,94.0
2014-04-28,95.0
2014-05-12,96.0
2014-05-13,90.0
2014-05-15,87.0
2014-05-18,85.0
2014-05-19,88.0
2014-05-20,90.0
2014-05-21,88.0
2014-05-22,91.0
2014-05-25,100.0
2014-05-26,102.0
2014-05-27,99.0
2014-05-28,99.0
2014-06-01,100.0
2014-06-02,98.0
2014-06-03,96.0
2014-06-04,96.0
2014-06-09,98.0
2014-06-10,95.0
2014-06-12,95.0
2014-06-15,94.0
2014-06-16,95.0
2014-06-17,94.0
2014-06-18,97.0
2014-06-19,96.0
2014-06-23,96.0
2014-06-24,90.0
2014-06-25,88.0
2014-06-26,87.0
2014-06-29,88.0
2014-06-30,90.0
2014-07-01,92.0
2014-07-02,91.0
2014-07-03,90.0
2014-07-06,99.0
2014-07-07,108.0
2014-07-08,115.0
2014-07-09,113.0
2014-07-10,112.0
2014-07-13,107.0
2014-07-14,105.0
2014-07-15,106.0
2014-07-16,108.0
2014-07-17,105.0
2014-07-20,114.0
2014-07-21,115.0
2014-07-22,118.0
2014-07-23,116.0
2014-07-24,119.0
2014-07-27,130.0
2014-07-28,143.0
2014-07-30,136.0
2014-08-03,140.0
2014-08-04,134.0
2014-08-05,130.0
2014-08-06,125.0
2014-08-07,119.0
2014-08-12,117.0
2014-08-13,117.0
2014-08-14,116.0
2014-08-18,122.0
2014-08-19,110.0
2014-08-20,109.0
2014-08-24,107.0
2014-08-25,103.0
2014-08-26,101.0
2014-08-27,100.0
2014-08-28,104.0
2014-08-31,106.0
2014-09-01,102.0
2014-09-03,100.0
2014-09-04,104.0
2014-09-07,102.0
2014-09-09,100.0
2014-09-10,102.0
2014-09-11,100.0
2014-09-14,100.0
2014-09-15,98.0
2014-09-16,99.0
2014-09-17,99.0
2014-09-21,98.0
2014-09-22,98.0
2014-09-23,97.0
2014-09-24,96.0
2014-09-28,96.0
2014-09-29,97.0
2014-09-30,96.0
2014-10-08,97.0
2014-10-12,97.0
2014-10-13,96.0
2014-10-14,96.0
2014-10-15,94.0
2014-10-16,95.0
2014-10-19,94.0
2014-10-21,93.0
2014-10-26,92.0
2014-10-27,92.0
2014-11-04,90.0
2014-11-05,89.0
2014-11-06,91.0
2014-11-09,94.0
2014-11-13,95.0
2014-12-10,95.0
2014-12-11,86.0
2014-12-14,86.0
2014-12-15,89.0
2014-12-16,90.0
2014-12-21,89.0
2014-12-31,90.0
2015-01-01,90.0
2015-01-04,90.0
2015-01-08,90.0
2015-01-11,91.0
2015-01-12,90.0
2015-01-13,84.0
2015-01-14,83.0
2015-01-18,82.0
2015-01-19,85.0
2015-01-20,86.0
2015-01-22,88.0
2015-01-25,92.0
2015-01-26,99.0
2015-01-27,96.0
2015-01-28,94.0
2015-01-29,94.0
2015-02-01,96.0
2015-02-02,98.0
2015-02-03,107.0
2015-02-04,110.0
2015-02-05,108.0
2015-02-08,103.0
2015-02-09,102.0
2015-02-11,102.0
2015-02-12,101.0
2015-02-15,102.0
2015-02-16,110.0
2015-02-18,109.0
2015-02-22,106.0
2015-02-23,100.0
2015-02-25,105.0
2015-03-01,104.0
2015-03-03,102.0
2015-03-04,105.0
2015-03-09,106.0
2015-03-10,104.0
2015-03-11,103.0
2015-03-12,106.0
2015-03-16,106.0
2015-03-19,108.0
2015-03-22,106.0
2015-03-23,102.0
2015-03-24,103.0
