Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-11-18,19,280.00,82330.00,303.00,282.00,282.00
2010-11-29,128,1400.00,388450.00,283.00,268.00,268.00
2010-11-30,61,610.00,161090.00,269.00,264.00,264.00
2010-12-01,40,480.00,114890.00,259.00,238.00,238.00
2010-12-08,1,10.00,2340.00,234.00,234.00,234.00
2010-12-16,3,50.00,10870.00,223.00,215.00,215.00
2010-12-22,4,70.00,14350.00,205.00,205.00,205.00
2010-12-27,9,190.00,36770.00,195.00,185.00,185.00
2010-12-28,6,60.00,10470.00,182.00,167.00,167.00
2010-12-29,8,180.00,29240.00,170.00,151.00,151.00
2011-01-02,71,1430.00,204590.00,148.00,140.00,142.00
2011-01-03,156,2540.00,363980.00,148.00,140.00,141.00
2011-01-04,36,710.00,99000.00,141.00,137.00,140.00
2011-01-05,66,1130.00,156790.00,141.00,138.00,138.00
2011-01-06,36,880.00,121430.00,140.00,136.00,140.00
2011-01-09,75,1670.00,232880.00,140.00,137.00,140.00
2011-01-10,107,1710.00,235510.00,138.00,136.00,138.00
2011-01-11,113,1770.00,244810.00,140.00,135.00,135.00
2011-01-12,79,1260.00,171560.00,139.00,135.00,136.00
2011-01-13,31,350.00,47660.00,137.00,136.00,136.00
2011-01-16,29,410.00,56370.00,138.00,137.00,138.00
2011-01-17,103,1480.00,205680.00,139.00,138.00,139.00
2011-01-18,7,210.00,28850.00,139.00,135.00,135.00
2011-01-19,121,1630.00,227930.00,140.00,137.00,140.00
2011-01-20,63,900.00,124410.00,139.00,137.00,137.00
2011-01-23,20,290.00,40190.00,139.00,135.00,135.00
2011-01-24,9,290.00,39310.00,136.00,134.00,135.00
2011-02-01,15,270.00,37190.00,138.00,137.00,138.00
2011-02-02,9,220.00,30070.00,138.00,135.00,135.00
2011-02-03,80,800.00,110170.00,138.00,136.00,137.00
2011-02-06,44,1710.00,234810.00,140.00,135.00,140.00
2011-02-08,7,280.00,38880.00,140.00,138.00,138.00
2011-02-10,3,30.00,4080.00,136.00,136.00,136.00
2011-02-13,12,270.00,35720.00,134.00,130.00,133.00
2011-02-14,20,370.00,48730.00,133.00,131.00,131.00
2011-02-15,9,240.00,31440.00,131.00,131.00,131.00
2011-02-16,6,280.00,36530.00,131.00,129.00,130.00
