Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2012-08-16,1,103.00,20600.00,200.00,200.00,200.00
2012-09-02,4,40.00,7660.00,196.00,187.00,187.00
2012-09-03,5,50.00,8900.00,184.00,172.00,172.00
2012-09-04,4,40.00,6580.00,169.00,160.00,160.00
2012-09-05,14,311.00,45144.00,157.00,144.00,144.00
2012-09-06,8,333.00,45468.00,142.00,134.00,138.00
2012-09-09,31,2089.00,265066.00,136.00,125.00,125.00
2012-09-10,19,2836.00,359827.00,128.00,124.00,127.00
2012-09-11,13,538.00,70693.00,138.00,128.00,138.00
2012-09-12,13,1191.00,171543.00,145.00,140.00,145.00
2012-09-13,3,410.00,57524.00,143.00,139.00,139.00
2012-09-16,1,19.00,2603.00,137.00,137.00,137.00
2012-09-17,3,129.00,17931.00,139.00,139.00,139.00
2012-09-25,9,1289.00,183029.00,145.00,137.00,137.00
2012-09-26,12,1184.00,160454.00,137.00,135.00,135.00
2012-09-30,14,1122.00,153760.00,139.00,137.00,137.00
2012-10-02,5,182.00,25134.00,139.00,137.00,137.00
2012-10-03,1,101.00,14039.00,139.00,139.00,139.00
2012-10-07,2,157.00,21879.00,140.00,139.00,140.00
2012-10-09,2,266.00,37015.00,140.00,139.00,139.00
2012-10-10,1,86.00,11954.00,139.00,139.00,139.00
2012-10-11,3,1089.00,150660.00,140.00,138.00,140.00
2012-10-14,1,43.00,6106.00,142.00,142.00,142.00
2012-10-15,2,200.00,28000.00,140.00,140.00,140.00
2012-10-18,3,157.00,22548.00,144.00,142.00,144.00
2012-10-30,1,91.00,12922.00,142.00,142.00,142.00
2012-11-05,1,99.00,13860.00,140.00,140.00,140.00
2012-11-06,68,7447.00,1044445.00,144.00,140.00,144.00
2012-11-07,7,1426.00,204246.00,144.00,142.00,143.00
2012-11-11,6,1707.00,243315.00,145.00,141.00,141.00
2012-11-12,1,136.00,19176.00,141.00,141.00,141.00
2012-11-29,3,226.00,31780.00,141.00,139.00,139.00
2012-12-04,4,416.00,58240.00,140.00,140.00,140.00
2012-12-05,5,502.00,70076.00,140.00,138.00,140.00
2012-12-06,2,2054.00,289560.00,142.00,140.00,140.00
2012-12-10,9,906.00,127004.00,142.00,140.00,140.00
2012-12-11,1,51.00,7242.00,142.00,142.00,142.00
2012-12-12,6,192.00,26957.00,142.00,139.00,139.00
2012-12-24,3,1997.00,273486.00,137.00,136.00,136.00
2013-01-03,1,33.00,4554.00,138.00,138.00,138.00
2013-01-30,2,764.00,106702.00,140.00,138.00,140.00
2013-02-13,1,10.00,1380.00,138.00,138.00,138.00
2013-02-20,6,1833.00,247791.00,136.00,134.00,135.00
2013-02-27,2,24.00,3192.00,133.00,133.00,133.00
2013-02-28,2,35.00,4739.00,136.00,135.00,136.00
2013-03-03,1,10.00,1340.00,134.00,134.00,134.00
2013-03-04,3,309.00,41715.00,135.00,135.00,135.00
2013-03-17,4,433.00,59457.00,139.00,137.00,139.00
2013-03-19,1,206.00,28428.00,138.00,138.00,138.00
2013-03-27,2,351.00,52569.00,150.00,147.00,147.00
2013-03-28,2,164.00,24108.00,147.00,147.00,147.00
2013-04-08,2,59.00,8523.00,145.00,143.00,143.00
2013-04-09,1,12.00,1740.00,145.00,145.00,145.00
2013-04-11,2,82.00,11644.00,143.00,141.00,141.00
2013-04-15,3,123.00,17671.00,145.00,143.00,143.00
2013-04-16,1,41.00,5781.00,141.00,141.00,141.00
2013-05-09,2,82.00,11316.00,139.00,137.00,137.00
2013-05-12,2,82.00,10988.00,135.00,133.00,133.00
2013-05-16,1,20.00,2700.00,135.00,135.00,135.00
2013-05-21,2,102.00,14076.00,139.00,137.00,139.00
2013-05-28,1,14.00,1974.00,141.00,141.00,141.00
